object,estimate,std_err
BouyguesCostsPostEntry,49,15
BouyguesCostsPreEntry,224,36
BouyguesDeviationFB,-311,48
BouyguesDeviationNoFB,402,58
FightBrandsConsumerSurplus,1439,240
FightBrandsTotalSurplus,1099,214
OrangeCostsPostEntry,489,61
OrangeCostsPreEntry,593,76
OrangeDeviationFB,-354,53
OrangeDeviationNoFB,429,60
PriceConsumerSurplus,854,254
PriceTotalSurplus,156,55
SFRCostsPostEntry,502,63
SFRCostsPreEntry,590,74
SFRDeviationFB,-230,37
SFRDeviationNoFB,289,45
TotalConsumerWelfare,4562,928
TotalWelfare,2321,524
VarietyConsumerSurplus,2270,441
VarietyTotalSurplus,1066,263
